Id,SalePrice
1461,102948.53935920214
1462,158521.5252433936
1463,163609.83671730745
1464,184689.12480067846
1465,190503.12515290384
1466,174052.1297089866
1467,185031.76941978012
1468,166917.82604243245
1469,202819.47886214347
1470,111144.65511103073
1471,199622.23514894117
1472,100198.7747717275
1473,83212.35530173825
1474,140453.07216878585
1475,103830.20427627221
1476,342351.815931015
1477,242560.17322374485
1478,306414.5772353745
1479,296336.82260321686
1480,416427.25283362635
1481,282212.70852799097
1482,214955.40659873758
1483,180884.68383619725
1484,172297.28327227104
1485,208319.4047257146
1486,212728.0331442022
1487,285483.35477616393
1488,236616.62587008928
1489,193358.75351612037
1490,239551.1234787741
1491,217221.21376637171
1492,91273.79411358817
1493,205929.39112034487
1494,284953.6237134625
1495,265773.98131465074
1496,241188.64988908614
1497,173290.99354223744
1498,181111.80344815803
1499,173958.93349778675
1500,167706.6713707766
1501,205079.0032661003
1502,158762.82110266725
1503,281676.30483129784
1504,244904.3200529489
1505,227611.61590214598
1506,198902.2571273935
1507,242791.0803897106
1508,206612.87865255366
1509,152611.79354195634
1510,134206.57354982512
1511,159647.29659108113
1512,172951.79943455837
1513,163472.46274759393
1514,144520.21383260447
1515,205471.60101171152
1516,169207.96488619538
1517,153548.56107214058
1518,114109.9904743355
1519,218359.77624614153
1520,129543.12326718023
1521,116905.90450487845
1522,190216.2405549616
1523,96756.97412993142
1524,126161.20871868625
1525,91639.70253612986
1526,85760.41488083254
1527,90886.6603931078
1528,148311.1010120837
1529,137792.54192966316
1530,206241.9640962853
1531,158535.93473333737
1532,103833.52643436188
1533,169067.2893003067
1534,164055.81826589978
1535,157450.7747488612
1536,109953.99265920685
1537,53842.09521126491
1538,155693.80975762475
1539,225455.57100249885
1540,108824.75184760848
1541,136008.77926808712
1542,144175.75550790515
1543,184794.4410193545
1544,93091.24892040581
1545,110351.70963555452
1546,144691.5366425144
1547,150829.84643552522
1548,131181.56498709862
1549,109052.9576226772
1550,135940.1844598913
1551,131527.78378711623
1552,138930.69517003954
1553,152216.75457546255
1554,109988.54647411138
1555,160370.1197752296
1556,87644.55486299418
1557,102637.52678238117
1558,122380.87239483342
1559,80741.6241172402
1560,134432.85659154982
1561,142509.19362146477
1562,140595.5407305
1563,121101.66806401615
1564,164840.85444276128
1565,128653.90198346897
1566,240712.67515934876
1567,84113.41931789764
1568,239997.69468011078
1569,124734.60871989152
1570,138782.5117581745
1571,96033.78297485877
1572,138512.4478851233
1573,244216.35587390495
1574,116500.79341798392
1575,239612.50192551233
1576,246750.93775928125
1577,193375.1951667351
1578,158862.19973311422
1579,118835.41361035325
1580,195202.51145019813
1581,153112.70475410158
1582,129799.84119021508
1583,284964.7079300035
1584,225210.97667521972
1585,159146.5885897911
1586,56088.24030644377
1587,107535.70827971457
1588,147554.5343120665
1589,112420.33784498787
1590,134803.44085684384
1591,64358.51360128715
1592,134275.57254154212
1593,139365.62510053604
1594,138026.98435481498
1595,111552.03948548262
1596,215399.1088444494
1597,160672.2979373011
1598,196022.53902427107
1599,193811.85363764677
1600,188326.40499480336
1601,39250.824833473074
1602,115450.14609520609
1603,75328.32943292783
1604,266062.21508845163
1605,248454.83835649234
1606,151975.25175164104
1607,162484.97815371415
1608,234530.37052499945
1609,196721.1932401032
1610,160257.29343609337
1611,132503.0943577052
1612,185396.21234719118
1613,165887.31421309547
1614,140326.2021512828
1615,70645.46573663747
1616,48042.509066820145
1617,64042.252747246064
1618,112205.64093500428
1619,153828.96360532322
1620,143812.3240115887
1621,134850.18524602999
1622,169584.58456639468
1623,259784.21458175045
1624,214857.0622846469
1625,113671.84195038653
1626,184255.42370327795
1627,180446.12581696722
1628,283823.92215079
1629,173003.5946857764
1630,306459.23491409654
